pair_id,target_id,cid,smiles,scaffold,pkd,measurements,source_aid,source_result_tags
AURKA_176870,AURKA,176870,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,c1ccc(Nc2ncnc3ccccc23)cc1,5.657577319177793,1,1433,989
AURKA_3025986,AURKA,3025986,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,O=C(Nc1ncc(SCc2ncco2)s1)C1CCNCC1,5.130768280269024,1,1433,415
AURKA_5329102,AURKA,5329102,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,O=C1Nc2ccccc2C1=Cc1ccc[nH]1,5.769551078621726,1,1433,2521
AURKA_16007391,AURKA,16007391,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,O=C(Cc1cc(Nc2ncnc3ccccc23)n[nH]1)Nc1ccccc1,6.229147988357856,1,1433,283
AURKA_451705,AURKA,451705,CN[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C1NCc2c1c1c3ccccc3n3c1c1c2c2ccccc2n1C1CCCC3O1,6.958607314841775,1,1433,2233
AURKA_24202429,AURKA,24202429,CO[C@H]1[C@@H](N(C)C(=O)c2ccccc2)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,O=C(NC1CC2OC(C1)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)CNC4=O)c1ccccc1,6.920818753952375,1,1433,1658
AURKA_5494449,AURKA,5494449,Cc1cc(Nc2cc(N3CCN(C)CC3)nc(Sc3ccc(NC(=O)C4CC4)cc3)n2)n[nH]1,O=C(Nc1ccc(Sc2nc(Nc3cc[nH]n3)cc(N3CCNCC3)n2)cc1)C1CC1,8.387216143280265,1,1433,2719
AURKA_11485656,AURKA,11485656,Cc1ccc(F)c(NC(=O)Nc2ccc(-c3cccc4[nH]nc(N)c34)cc2)c1,O=C(Nc1ccccc1)Nc1ccc(-c2cccc3[nH]ncc23)cc1,5.795880017344075,1,1433,3
AURKA_10113978,AURKA,10113978,Cc1ccc(Nc2nccc(N(C)c3ccc4c(C)n(C)nc4c3)n2)cc1S(N)(=O)=O,c1ccc(Nc2nccc(Nc3ccc4c[nH]nc4c3)n2)cc1,5.1487416512809245,1,1433,1147
AURKA_5330790,AURKA,5330790,Nc1nc(Nc2ccc(S(N)(=O)=O)cc2)nn1C(=O)c1c(F)cccc1F,O=C(c1ccccc1)n1cnc(Nc2ccccc2)n1,6.6020599913279625,1,1433,1316
