target,residues,heavy_atoms,sequence_matches,missing_backbone_residues,minimum_peptide_CN_A,maximum_peptide_CN_A,heavy_atom_pairs_below_0_8A,mean_plddt,ptm,cif_sha256
AURKA,403,3228,True,0,1.2886491695570208,1.347746767683009,0,0.6467854380607605,0.6531256437301636,1948fc94993274094458f36e4ea265f7061fd944de07e85a7e273e76bcc364d0
AURKB,344,2766,True,0,1.3019713890097582,1.3474700745842192,0,0.7206788063049316,0.7678909301757812,fff0a5b9bb479f98df228413c4b405932918237b19f0cb4618e1dc509dc4a948
AURKC,275,2267,True,0,1.2912069952567646,1.3471755710374198,0,0.852627694606781,0.8957250118255615,061524933afb54b89dc21d8eedcb2ea75a5d8ab1dc832b7b88e4092d855b6ae2
CDK2,298,2397,True,0,1.2960720690223984,1.359375844827324,0,0.893369734287262,0.9325416088104248,d3dbe3c0c29b47c1c63502ed3fd37b06f938dea4d1cc39d5ef1d44b4342bd16c
CDK7,346,2750,True,0,1.296674561098506,1.3458985889360293,0,0.8468169569969177,0.8493978977203369,da1aab35ad0fc5e1431ffb3a4cddf26c5221e21dae198432a190592ed0688af3
GSK3B,433,3382,True,0,1.2981020624742872,1.3536947323159674,0,0.8097051978111267,0.8553887009620667,f60e162b025c19efc8cedd1ce7a9d9b8e1ab075c6d4a05ce567e4ea4880d2b79
SRC,536,4213,True,0,1.280202370760185,1.3342656115631544,0,0.7977504730224609,0.7608422636985779,3d92c666c0fe2b6d23bc80f01230581ef4329aa1692ece6374804b1c7930711a
LCK,509,4087,True,0,1.2477886611521982,1.3368176891782948,0,0.8283872008323669,0.7570191621780396,94a3c7aca187a4dc5d6f7767cc7600715d125c74abd2c6d999b41efb98b240b3
HCK,526,4187,True,0,1.2612218492398557,1.3422557741727192,0,0.7972638010978699,0.7355760931968689,b622ac78d0be48c47bcb4cfa5c6c2970aeeddc854f7d2f0b83cdd33c9175dc9e
FRK,505,4109,True,0,1.27083826626365,1.3372191176467674,0,0.8082584738731384,0.7743427753448486,45885c9812725b5450d9e29ac087a87f046db7ee4c87f22179d767ecae67bb76
CSNK1D,409,3293,True,0,1.3062093085719464,1.3533031193712661,0,0.7463867664337158,0.7335183620452881,ccad501cd9bba9ea0ff740a492a0e480e09c4cf75e187cb3a85dd3aa7cbde83c
CSNK1E,416,3329,True,0,1.3041299600116543,1.356730137683986,0,0.7512120008468628,0.7172380685806274,84f5624299b6e7e3412ae9b83bb7bbee5d0f362c5eef367b9422b1e5df856431
